construct,model,dropped_prompt,delta,n_prompts,n_cells
standard,gemma-3-27b-it,association::interview,0.9400000000000001,19,95
standard,gemma-3-27b-it,association::math-h,0.9,19,95
standard,gemma-3-27b-it,association::poker,0.9066666666666666,19,95
standard,gemma-3-27b-it,association::rivals,0.8533333333333333,19,95
standard,gemma-3-27b-it,multihop::atomic-79-symbol,0.8416666666666668,19,95
standard,gemma-3-27b-it,multihop::month-3-godof,0.9016666666666666,19,95
standard,gemma-3-27b-it,multihop::spaceneedle-border,0.9683333333333334,19,95
standard,gemma-3-27b-it,multihop::super-smallest-continent,0.8883333333333333,19,95
standard,gemma-3-27b-it,multilingual::es-number-after-two,0.9316666666666666,19,95
standard,gemma-3-27b-it,multilingual::fr-double-three,0.9316666666666666,19,95
standard,gemma-3-27b-it,multilingual::italian-color-sky,0.905,19,95
standard,gemma-3-27b-it,multilingual::portuguese-season-spring,0.8316666666666667,19,95
standard,gemma-3-27b-it,poetry::couplet-crack-black,0.9,19,95
standard,gemma-3-27b-it,poetry::couplet-fall-wall,0.9,19,95
standard,gemma-3-27b-it,poetry::couplet-heart-apart,0.9400000000000001,19,95
standard,gemma-3-27b-it,poetry::couplet-white-write,0.86,19,95
standard,gemma-3-27b-it,typo::typo-company,0.82,19,95
standard,gemma-3-27b-it,typo::typo-message,0.9199999999999999,19,95
standard,gemma-3-27b-it,typo::typo-million,0.9733333333333333,19,95
standard,gemma-3-27b-it,typo::typo-people,0.8866666666666667,19,95
standard,qwen3.5-27b,association::interview,0.6533333333333333,19,95
standard,qwen3.5-27b,association::math-h,0.7,19,95
standard,qwen3.5-27b,association::poker,0.6666666666666667,19,95
standard,qwen3.5-27b,association::rivals,0.6,19,95
standard,qwen3.5-27b,multihop::atomic-79-symbol,0.64,19,95
standard,qwen3.5-27b,multihop::month-3-godof,0.6266666666666667,19,95
standard,qwen3.5-27b,multihop::spaceneedle-border,0.6733333333333335,19,95
standard,qwen3.5-27b,multihop::super-smallest-continent,0.68,19,95
standard,qwen3.5-27b,multilingual::es-number-after-two,0.6583333333333334,19,95
standard,qwen3.5-27b,multilingual::fr-double-three,0.645,19,95
standard,qwen3.5-27b,multilingual::italian-color-sky,0.6183333333333334,19,95
standard,qwen3.5-27b,multilingual::portuguese-season-spring,0.6983333333333334,19,95
standard,qwen3.5-27b,poetry::couplet-crack-black,0.6700000000000002,19,95
standard,qwen3.5-27b,poetry::couplet-fall-wall,0.6300000000000001,19,95
standard,qwen3.5-27b,poetry::couplet-heart-apart,0.6700000000000002,19,95
standard,qwen3.5-27b,poetry::couplet-white-write,0.6500000000000001,19,95
standard,qwen3.5-27b,typo::typo-company,0.6983333333333334,19,95
standard,qwen3.5-27b,typo::typo-message,0.6316666666666667,19,95
standard,qwen3.5-27b,typo::typo-million,0.6316666666666667,19,95
standard,qwen3.5-27b,typo::typo-people,0.6583333333333334,19,95
non_echo_norefill,gemma-3-27b-it,association::interview,0.09833333333333333,19,95
non_echo_norefill,gemma-3-27b-it,association::math-h,0.125,19,95
non_echo_norefill,gemma-3-27b-it,association::poker,0.09833333333333336,19,95
non_echo_norefill,gemma-3-27b-it,association::rivals,0.11833333333333332,19,95
non_echo_norefill,gemma-3-27b-it,multihop::atomic-79-symbol,0.05166666666666666,19,95
non_echo_norefill,gemma-3-27b-it,multihop::month-3-godof,0.09166666666666666,19,95
non_echo_norefill,gemma-3-27b-it,multihop::spaceneedle-border,0.1716666666666667,19,95
non_echo_norefill,gemma-3-27b-it,multihop::super-smallest-continent,0.125,19,95
non_echo_norefill,gemma-3-27b-it,multilingual::es-number-after-two,0.11166666666666666,19,95
non_echo_norefill,gemma-3-27b-it,multilingual::fr-double-three,0.11166666666666666,19,95
non_echo_norefill,gemma-3-27b-it,multilingual::italian-color-sky,0.10500000000000002,19,95
non_echo_norefill,gemma-3-27b-it,multilingual::portuguese-season-spring,0.11166666666666666,19,95
non_echo_norefill,gemma-3-27b-it,poetry::couplet-crack-black,0.10166666666666666,19,95
non_echo_norefill,gemma-3-27b-it,poetry::couplet-fall-wall,0.10833333333333335,19,95
non_echo_norefill,gemma-3-27b-it,poetry::couplet-heart-apart,0.12166666666666663,19,95
non_echo_norefill,gemma-3-27b-it,poetry::couplet-white-write,0.10833333333333335,19,95
non_echo_norefill,gemma-3-27b-it,typo::typo-company,0.09666666666666666,19,95
non_echo_norefill,gemma-3-27b-it,typo::typo-message,0.15,19,95
non_echo_norefill,gemma-3-27b-it,typo::typo-million,0.10333333333333332,19,95
non_echo_norefill,gemma-3-27b-it,typo::typo-people,0.09,19,95
non_echo_norefill,qwen3.5-27b,association::interview,0.32666666666666666,19,95
non_echo_norefill,qwen3.5-27b,association::math-h,0.38,19,95
non_echo_norefill,qwen3.5-27b,association::poker,0.32,19,95
non_echo_norefill,qwen3.5-27b,association::rivals,0.2733333333333333,19,95
non_echo_norefill,qwen3.5-27b,multihop::atomic-79-symbol,0.3083333333333333,19,95
non_echo_norefill,qwen3.5-27b,multihop::month-3-godof,0.3416666666666667,19,95
non_echo_norefill,qwen3.5-27b,multihop::spaceneedle-border,0.31500000000000006,19,95
non_echo_norefill,qwen3.5-27b,multihop::super-smallest-continent,0.33499999999999996,19,95
non_echo_norefill,qwen3.5-27b,multilingual::es-number-after-two,0.3133333333333333,19,95
non_echo_norefill,qwen3.5-27b,multilingual::fr-double-three,0.32666666666666666,19,95
non_echo_norefill,qwen3.5-27b,multilingual::italian-color-sky,0.29333333333333333,19,95
non_echo_norefill,qwen3.5-27b,multilingual::portuguese-season-spring,0.3666666666666667,19,95
non_echo_norefill,qwen3.5-27b,poetry::couplet-crack-black,0.32999999999999996,19,95
non_echo_norefill,qwen3.5-27b,poetry::couplet-fall-wall,0.30999999999999994,19,95
non_echo_norefill,qwen3.5-27b,poetry::couplet-heart-apart,0.32333333333333336,19,95
non_echo_norefill,qwen3.5-27b,poetry::couplet-white-write,0.3366666666666666,19,95
non_echo_norefill,qwen3.5-27b,typo::typo-company,0.35500000000000004,19,95
non_echo_norefill,qwen3.5-27b,typo::typo-message,0.335,19,95
non_echo_norefill,qwen3.5-27b,typo::typo-million,0.3016666666666667,19,95
non_echo_norefill,qwen3.5-27b,typo::typo-people,0.30833333333333335,19,95
