construct,model,dropped_set,delta,n_sets,n_cells
standard,gemma-3-27b-it,association,0.9,4,80
standard,gemma-3-27b-it,multihop,0.94375,4,80
standard,gemma-3-27b-it,multilingual,1.00625,4,80
standard,gemma-3-27b-it,poetry,0.65,4,80
standard,gemma-3-27b-it,typo,1.0,4,80
standard,qwen3.5-27b,association,0.675,4,80
standard,qwen3.5-27b,multihop,0.675,4,80
standard,qwen3.5-27b,multilingual,0.55625,4,80
standard,qwen3.5-27b,poetry,0.6625000000000001,4,80
standard,qwen3.5-27b,typo,0.70625,4,80
non_echo_norefill,gemma-3-27b-it,association,0.031250000000000014,4,80
non_echo_norefill,gemma-3-27b-it,multihop,0.28125,4,80
non_echo_norefill,gemma-3-27b-it,multilingual,0.13125000000000003,4,80
non_echo_norefill,gemma-3-27b-it,poetry,-0.08124999999999999,4,80
non_echo_norefill,gemma-3-27b-it,typo,0.1875,4,80
non_echo_norefill,qwen3.5-27b,association,0.32499999999999996,4,80
non_echo_norefill,qwen3.5-27b,multihop,0.39375000000000004,4,80
non_echo_norefill,qwen3.5-27b,multilingual,0.275,4,80
non_echo_norefill,qwen3.5-27b,poetry,0.2625,4,80
non_echo_norefill,qwen3.5-27b,typo,0.36875,4,80
