variant,model,subset,n_cells,n_prompts,delta,ci_lo,ci_hi
gpt5_only,gemma-3-27b-it,all_cells,100,20,1.1599999999999997,0.9200000000000002,1.4
gpt5_only,gemma-3-27b-it,echo_equal,65,19,0.9275,0.6908333333333333,1.1841666666666666
gpt5_only,gemma-3-27b-it,echo_both_zero,54,19,1.1758333333333333,0.775,1.6175000000000002
gpt5_only,qwen3.5-27b,all_cells,100,20,0.79,0.5199999999999999,1.02
gpt5_only,qwen3.5-27b,echo_equal,79,20,0.6599999999999999,0.3808333333333333,0.9116666666666667
gpt5_only,qwen3.5-27b,echo_both_zero,70,20,0.6783333333333333,0.3808333333333333,0.9591666666666667
gpt5_only,POOLED,all_cells,200,20,0.975,0.8400000000000001,1.0950000000000002
gpt5_only,POOLED,echo_equal,144,20,0.706765873015873,0.5546626984126984,0.8532738095238095
gpt5_only,POOLED,echo_both_zero,124,20,0.726686507936508,0.5581944444444444,0.8998809523809523
deepseek_only,gemma-3-27b-it,all_cells,100,20,0.86,0.59,1.1300000000000001
deepseek_only,gemma-3-27b-it,echo_equal,66,20,0.8891666666666668,0.6041666666666667,1.1716666666666666
deepseek_only,gemma-3-27b-it,echo_both_zero,50,19,0.8958333333333334,0.6,1.2
deepseek_only,qwen3.5-27b,all_cells,100,20,0.5900000000000001,0.43000000000000005,0.75
deepseek_only,qwen3.5-27b,echo_equal,75,20,0.4883333333333334,0.23500000000000001,0.7191666666666666
deepseek_only,qwen3.5-27b,echo_both_zero,71,20,0.45499999999999996,0.18083333333333335,0.7066666666666667
deepseek_only,POOLED,all_cells,200,20,0.725,0.55,0.9
deepseek_only,POOLED,echo_equal,141,20,0.6119841269841271,0.4336904761904762,0.7785714285714287
deepseek_only,POOLED,echo_both_zero,121,20,0.5873015873015872,0.3543650793650793,0.7994047619047618
primary_mean,gemma-3-27b-it,all_cells,100,20,1.0099999999999998,0.78,1.2399999999999998
primary_mean,gemma-3-27b-it,echo_equal,53,19,1.0308333333333333,0.6954166666666668,1.4029166666666666
primary_mean,gemma-3-27b-it,echo_both_zero,36,17,1.0833333333333333,0.75,1.4625
primary_mean,qwen3.5-27b,all_cells,100,20,0.69,0.5149999999999999,0.8550000000000001
primary_mean,qwen3.5-27b,echo_equal,68,20,0.5091666666666667,0.2975,0.7204166666666667
primary_mean,qwen3.5-27b,echo_both_zero,62,20,0.5258333333333333,0.2929166666666667,0.75625
primary_mean,POOLED,all_cells,200,20,0.85,0.735,0.9650000000000001
primary_mean,POOLED,echo_equal,121,20,0.5773412698412698,0.4523412698412699,0.7027777777777777
primary_mean,POOLED,echo_both_zero,98,20,0.6863690476190476,0.48601190476190476,0.8979761904761905
adjudicated,gemma-3-27b-it,all_cells,100,20,0.9,0.63,1.1800000000000002
adjudicated,gemma-3-27b-it,echo_equal,60,19,0.8412500000000002,0.5770833333333333,1.1333333333333333
adjudicated,gemma-3-27b-it,echo_both_zero,51,19,0.7879166666666667,0.5,1.1066666666666667
adjudicated,qwen3.5-27b,all_cells,100,20,0.655,0.48,0.8300000000000001
adjudicated,qwen3.5-27b,echo_equal,74,20,0.46749999999999997,0.2458333333333333,0.69625
adjudicated,qwen3.5-27b,echo_both_zero,71,20,0.4533333333333333,0.2058333333333333,0.7029166666666666
adjudicated,POOLED,all_cells,200,20,0.7775000000000001,0.6325000000000001,0.9275
adjudicated,POOLED,echo_equal,134,20,0.523234126984127,0.35103174603174603,0.7009126984126984
adjudicated,POOLED,echo_both_zero,122,20,0.5179166666666666,0.3255952380952381,0.7143452380952382
