variant,primary,model,contrast,delta,ci_lo,ci_hi,p,win,tie,loss,n_prompts,n_cells
gpt5_only,True,gemma-3-27b-it,released-R - released-J,1.1599999999999997,0.9200000000000002,1.4,< 1e-04,0.7,0.2,0.1,20,100
gpt5_only,True,gemma-3-27b-it,released-R - logit,1.5,1.1099999999999999,1.8399999999999999,< 1e-04,0.77,0.04,0.19,20,100
gpt5_only,True,gemma-3-27b-it,released-J - logit,0.33999999999999997,-0.15,0.79,0.3023,0.5,0.11,0.39,20,100
gpt5_only,True,qwen3.5-27b,released-R - released-J,0.79,0.5199999999999999,1.02,< 1e-04,0.63,0.23,0.14,20,100
gpt5_only,True,qwen3.5-27b,released-R - logit,0.10999999999999996,-0.22000000000000003,0.42000000000000004,0.6903,0.51,0.06,0.43,20,100
gpt5_only,True,qwen3.5-27b,released-J - logit,-0.68,-1.06,-0.32999999999999996,0.0170,0.3,0.11,0.59,20,100
gpt5_only,True,POOLED,released-R - released-J,0.975,0.8400000000000001,1.0950000000000002,< 1e-04,0.665,0.215,0.12,20,200
gpt5_only,True,POOLED,released-R - logit,0.8049999999999999,0.5549999999999999,1.045,< 1e-04,0.64,0.05,0.31,20,200
gpt5_only,True,POOLED,released-J - logit,-0.16999999999999998,-0.42000000000000004,0.075,0.3707,0.4,0.11,0.49,20,200
deepseek_only,True,gemma-3-27b-it,released-R - released-J,0.86,0.59,1.1300000000000001,0.0006,0.63,0.24,0.13,20,100
deepseek_only,True,gemma-3-27b-it,released-R - logit,1.3800000000000001,1.1800000000000002,1.58,< 1e-04,0.78,0.03,0.19,20,100
deepseek_only,True,gemma-3-27b-it,released-J - logit,0.5200000000000001,0.21999999999999997,0.8299999999999998,0.0277,0.57,0.09,0.34,20,100
deepseek_only,True,qwen3.5-27b,released-R - released-J,0.5900000000000001,0.43000000000000005,0.75,< 1e-04,0.57,0.32,0.11,20,100
deepseek_only,True,qwen3.5-27b,released-R - logit,1.36,1.1199999999999999,1.61,< 1e-04,0.84,0.08,0.08,20,100
deepseek_only,True,qwen3.5-27b,released-J - logit,0.7700000000000001,0.5700000000000001,0.97,< 1e-04,0.68,0.16,0.16,20,100
deepseek_only,True,POOLED,released-R - released-J,0.725,0.55,0.9,< 1e-04,0.6,0.28,0.12,20,200
deepseek_only,True,POOLED,released-R - logit,1.3699999999999999,1.19,1.5450000000000002,< 1e-04,0.81,0.055,0.135,20,200
deepseek_only,True,POOLED,released-J - logit,0.6449999999999999,0.4699999999999999,0.82,< 1e-04,0.625,0.125,0.25,20,200
primary_mean,True,gemma-3-27b-it,released-R - released-J,1.0099999999999998,0.78,1.2399999999999998,< 1e-04,0.76,0.1,0.14,20,100
primary_mean,True,gemma-3-27b-it,released-R - logit,1.44,1.175,1.6800000000000002,< 1e-04,0.8,0.03,0.17,20,100
primary_mean,True,gemma-3-27b-it,released-J - logit,0.43,0.049999999999999975,0.7949999999999999,0.1149,0.54,0.06,0.4,20,100
primary_mean,True,qwen3.5-27b,released-R - released-J,0.69,0.5149999999999999,0.8550000000000001,< 1e-04,0.69,0.2,0.11,20,100
primary_mean,True,qwen3.5-27b,released-R - logit,0.7350000000000001,0.475,0.9950000000000001,< 1e-04,0.64,0.12,0.24,20,100
primary_mean,True,qwen3.5-27b,released-J - logit,0.045000000000000005,-0.19499999999999998,0.275,0.7710,0.4,0.19,0.41,20,100
primary_mean,True,POOLED,released-R - released-J,0.85,0.735,0.9650000000000001,< 1e-04,0.725,0.15,0.125,20,200
primary_mean,True,POOLED,released-R - logit,1.0875,0.89,1.2774999999999999,< 1e-04,0.72,0.075,0.205,20,200
primary_mean,True,POOLED,released-J - logit,0.2375,0.04749999999999999,0.425,0.1176,0.47,0.125,0.405,20,200
adjudicated,True,gemma-3-27b-it,released-R - released-J,0.9,0.63,1.1800000000000002,0.0005,0.63,0.24,0.13,20,100
adjudicated,True,gemma-3-27b-it,released-R - logit,1.2850000000000001,1.035,1.5399999999999998,< 1e-04,0.75,0.08,0.17,20,100
adjudicated,True,gemma-3-27b-it,released-J - logit,0.38499999999999995,-0.0049999999999999715,0.76,0.1227,0.53,0.11,0.36,20,100
