config,layer,cos_to_j,cos_to_released_j,cos_to_released_r
j,0,1.0036945343017578,0.4687403440475464,0.2596208155155182
j,1,1.0031118392944336,0.45973852276802063,0.26777562499046326
j,2,1.003600001335144,0.4725619852542877,0.2996324598789215
j,3,1.0032739639282227,0.4842967092990875,0.3329426944255829
j,4,1.003746747970581,0.512791633605957,0.3696434497833252
j,5,1.0032477378845215,0.539013683795929,0.3984115421772003
j,6,1.0036174058914185,0.45692935585975647,0.3407641351222992
j,7,1.0032684803009033,0.4758422076702118,0.3664710819721222
j,8,1.003213882446289,0.504644513130188,0.3984304666519165
j,9,1.003587007522583,0.5310349464416504,0.42261990904808044
j,10,1.003854751586914,0.5582076907157898,0.4484045207500458
j,11,1.0036925077438354,0.5791365504264832,0.46857908368110657
j,12,1.0033231973648071,0.5990980863571167,0.48687317967414856
j,13,1.003400206565857,0.621661365032196,0.5082218647003174
j,14,1.0035436153411865,0.645426869392395,0.5304462909698486
j,15,1.0036687850952148,0.6700671911239624,0.5561478137969971
j,16,1.0042493343353271,0.7024495005607605,0.5760822296142578
j,17,1.004248857498169,0.7301682829856873,0.5969736576080322
j,18,1.003986120223999,0.6797578930854797,0.5783867239952087
j,19,1.0041675567626953,0.6841942667961121,0.5828060507774353
j,20,1.0042964220046997,0.7026525735855103,0.6012535691261292
j,21,1.0042344331741333,0.7197409868240356,0.6176272630691528
j,22,1.0040374994277954,0.7246493697166443,0.6274007558822632
j,23,1.0042132139205933,0.7414516806602478,0.6476786732673645
j,24,1.0043697357177734,0.7592642307281494,0.668265700340271
j,25,1.0045602321624756,0.7797404527664185,0.6904019117355347
j,26,1.0045543909072876,0.797832727432251,0.7074858546257019
j,27,1.004796028137207,0.8071171641349792,0.7174787521362305
j,28,1.0048059225082397,0.8154729008674622,0.725222647190094
j,29,1.0048151016235352,0.8217316269874573,0.7325395345687866
j,30,1.0047804117202759,0.8269829154014587,0.7383864521980286
j,31,1.0046555995941162,0.8321596384048462,0.7462201118469238
j,32,1.0047330856323242,0.8465233445167542,0.7606008648872375
j,33,1.0046346187591553,0.8548734188079834,0.7715747952461243
j,34,1.0046608448028564,0.8595343828201294,0.7837706208229065
j,35,1.0045462846755981,0.8686933517456055,0.7965996265411377
j,36,1.0043728351593018,0.8803397417068481,0.8117392063140869
j,37,1.0042020082473755,0.8909398913383484,0.824967622756958
j,38,1.0037280321121216,0.8989707827568054,0.8366274237632751
j,39,1.0044825077056885,0.9105358719825745,0.851825475692749
j,40,1.004637360572815,0.9223508834838867,0.8678690791130066
j,41,1.0041826963424683,0.9323244094848633,0.8820796012878418
j,42,1.0039526224136353,0.9387097954750061,0.8907131552696228
j,43,1.003718614578247,0.9435188174247742,0.8987306952476501
j,44,1.004265308380127,0.9480970501899719,0.9049239754676819
j,45,1.0048600435256958,0.9514240622520447,0.9103794693946838
j,46,1.0050511360168457,0.954666793346405,0.9154258370399475
j,47,1.0050517320632935,0.9578134417533875,0.9212658405303955
j,48,1.0051419734954834,0.9617767930030823,0.9272525906562805
j,49,1.0051699876785278,0.9657077789306641,0.9347068071365356
j,50,1.0054821968078613,0.9705079197883606,0.9450196623802185
j,51,1.0060075521469116,0.9775209426879883,0.9579005241394043
j,52,1.0062501430511475,0.9829617142677307,0.9664835333824158
j,53,1.0064142942428589,0.9862698912620544,0.9720084071159363
j,54,1.0065852403640747,0.9887223839759827,0.9782707095146179
j,55,1.0070295333862305,0.9927526116371155,0.9837761521339417
j,56,1.0074175596237183,0.9964570999145508,0.9885571002960205
j,57,1.007767915725708,0.9993094801902771,0.992372453212738
j,58,1.0081663131713867,1.0017781257629395,0.9959452748298645
j,59,1.009148359298706,1.005429983139038,1.000645399093628
j,60,1.0103349685668945,1.007734775543213,1.0040873289108276
j,61,1.0108652114868164,1.0091713666915894,1.0066771507263184
j,62,1.0,1.0,1.0
ln,0,0.28218117356300354,0.14317288994789124,0.0901309996843338
ln,1,0.30917057394981384,0.15305012464523315,0.09740182012319565
ln,2,0.3022443354129791,0.1566244512796402,0.10530870407819748
ln,3,0.2718706429004669,0.15332713723182678,0.10957486182451248
ln,4,0.2541579306125641,0.16177168488502502,0.1201680451631546
ln,5,0.24899356067180634,0.1709592640399933,0.12897051870822906
ln,6,0.23810064792633057,0.13609880208969116,0.10332514345645905
ln,7,0.22765564918518066,0.13911661505699158,0.10850308835506439
ln,8,0.2703787386417389,0.15143874287605286,0.12086378037929535
ln,9,0.28018802404403687,0.16226284205913544,0.13013426959514618
ln,10,0.3149275481700897,0.18015523254871368,0.14548000693321228
ln,11,0.34772536158561707,0.19168974459171295,0.15557900071144104
ln,12,0.37052759528160095,0.2028781622648239,0.16487234830856323
ln,13,0.4066218137741089,0.2203730195760727,0.18054400384426117
ln,14,0.4589882791042328,0.2402544617652893,0.19836962223052979
ln,15,0.5238514542579651,0.2679741680622101,0.22352485358715057
ln,16,0.5674418807029724,0.2984774708747864,0.2462582290172577
ln,17,0.6196393966674805,0.3390546143054962,0.27882879972457886
ln,18,0.642603874206543,0.32362881302833557,0.27671509981155396
ln,19,0.6579612493515015,0.3354750871658325,0.28766900300979614
ln,20,0.6711936593055725,0.3630324900150299,0.31298762559890747
ln,21,0.6810718774795532,0.38566672801971436,0.3332253694534302
ln,22,0.6841018199920654,0.39056888222694397,0.34044915437698364
ln,23,0.6919665336608887,0.40964052081108093,0.35989516973495483
ln,24,0.6988180875778198,0.42799440026283264,0.3785795271396637
ln,25,0.7096329927444458,0.45373815298080444,0.4036481976509094
ln,26,0.7216055989265442,0.4804695248603821,0.4281015992164612
ln,27,0.7296289801597595,0.4954303205013275,0.4424182176589966
ln,28,0.7328540086746216,0.5033649802207947,0.4497642517089844
ln,29,0.7440176606178284,0.5238192081451416,0.46884068846702576
ln,30,0.7544452548027039,0.5411149859428406,0.4852348268032074
ln,31,0.7638252377510071,0.5566282272338867,0.5014885663986206
ln,32,0.7724104523658752,0.5741018652915955,0.5178409218788147
ln,33,0.7959443926811218,0.6100467443466187,0.5519300699234009
ln,34,0.8025000691413879,0.6178170442581177,0.5648124814033508
ln,35,0.8115995526313782,0.6360729932785034,0.5846208333969116
ln,36,0.8136134743690491,0.6462777853012085,0.597123384475708
ln,37,0.8327115774154663,0.6787481904029846,0.6300124526023865
ln,38,0.8413212299346924,0.6964430212974548,0.6495983004570007
ln,39,0.8565057516098022,0.7247651815414429,0.6795365214347839
ln,40,0.8833966255187988,0.7693523168563843,0.7255058884620667
ln,41,0.9044460654258728,0.8059755563735962,0.7640471458435059
ln,42,0.9152323007583618,0.8256555199623108,0.7849471569061279
ln,43,0.9273124933242798,0.8456753492355347,0.8068459033966064
ln,44,0.9433453679084778,0.870230495929718,0.8319848775863647
ln,45,0.9495545625686646,0.8806164264678955,0.8440166711807251
ln,46,0.9653719067573547,0.9042868614196777,0.8686930537223816
ln,47,0.9715390205383301,0.9150103330612183,0.881666362285614
ln,48,0.9818079471588135,0.9324179291725159,0.9007707238197327
ln,49,0.9888246655464172,0.945121705532074,0.9165037870407104
ln,50,0.9967048168182373,0.9595826268196106,0.9355548620223999
ln,51,1.0025168657302856,0.9733261466026306,0.954740047454834
ln,52,1.0047376155853271,0.9811142683029175,0.9653540849685669
ln,53,1.0058180093765259,0.9855221509933472,0.9716919660568237
ln,54,1.0062066316604614,0.9882615804672241,0.978068470954895
ln,55,1.0067620277404785,0.9924331307411194,0.9836450815200806
ln,56,1.0072581768035889,0.9963008165359497,0.9884865880012512
ln,57,1.007643222808838,0.9992057681083679,0.9923149347305298
ln,58,1.0080854892730713,1.0017296075820923,0.9959777593612671
ln,59,1.0091112852096558,1.005391001701355,1.0006388425827026
ln,60,1.0103236436843872,1.0077158212661743,1.0040650367736816
ln,61,1.0108610391616821,1.0091655254364014,1.0066721439361572
ln,62,1.0,1.0,1.0
identity,0,0.8911042809486389,0.5068813562393188,0.3529549241065979
identity,1,0.8908541798591614,0.5053274035453796,0.3678167760372162
identity,2,0.8906477093696594,0.5330026745796204,0.409914493560791
identity,3,0.8895089626312256,0.5597358345985413,0.4532163739204407
identity,4,0.8919421434402466,0.5949124097824097,0.49142640829086304
identity,5,0.893017590045929,0.6236262321472168,0.519450843334198
identity,6,0.8960433006286621,0.528694212436676,0.4501981735229492
identity,7,0.8977352976799011,0.550865888595581,0.47537025809288025
identity,8,0.9025223255157471,0.5771790146827698,0.5024568438529968
identity,9,0.9047778248786926,0.6020016670227051,0.5235522389411926
identity,10,0.9093451499938965,0.6246860027313232,0.5438354015350342
identity,11,0.9125595092773438,0.6418861150741577,0.5590564608573914
identity,12,0.9135988354682922,0.6602914333343506,0.575560986995697
identity,13,0.9158926606178284,0.677628219127655,0.5909261107444763
identity,14,0.9184685349464417,0.694451093673706,0.6057024598121643
identity,15,0.9221643805503845,0.7110028862953186,0.6230077147483826
identity,16,0.9214115738868713,0.7381790280342102,0.6453347206115723
identity,17,0.9239503741264343,0.7574321627616882,0.66115802526474
identity,18,0.9250515103340149,0.7126292586326599,0.640711784362793
identity,19,0.9297429323196411,0.7107325792312622,0.6361867189407349
identity,20,0.9332507252693176,0.7232263088226318,0.6476668119430542
identity,21,0.9364901781082153,0.7353400588035583,0.6581194996833801
identity,22,0.9402088522911072,0.7363481521606445,0.6629900932312012
identity,23,0.944199800491333,0.7483139038085938,0.6780893206596375
identity,24,0.9481067061424255,0.7622899413108826,0.6938231587409973
identity,25,0.9511553645133972,0.7786522507667542,0.7110639810562134
identity,26,0.9530022740364075,0.7933908104896545,0.7247971892356873
identity,27,0.9549366235733032,0.8000620007514954,0.7319631576538086
identity,28,0.9560415744781494,0.8066453337669373,0.7377408146858215
identity,29,0.9571204781532288,0.810600996017456,0.742675244808197
identity,30,0.957886278629303,0.8147696852684021,0.7471753358840942
identity,31,0.9592684507369995,0.8176305294036865,0.7534727454185486
identity,32,0.9597770571708679,0.8305268287658691,0.7673178315162659
identity,33,0.9606772661209106,0.8376227617263794,0.7772009968757629
identity,34,0.9633533358573914,0.8429076671600342,0.7897141575813293
identity,35,0.964653491973877,0.8512329459190369,0.8006962537765503
identity,36,0.9668397903442383,0.8625811338424683,0.8148859739303589
identity,37,0.9683687090873718,0.8723459839820862,0.8267413973808289
identity,38,0.9706643223762512,0.8809301257133484,0.8379848599433899
identity,39,0.9732887148857117,0.8925619125366211,0.8522987365722656
identity,40,0.9757800102233887,0.9050166606903076,0.8671847581863403
identity,41,0.9780651330947876,0.916132926940918,0.8813850283622742
identity,42,0.978922426700592,0.9223917722702026,0.8899415135383606
identity,43,0.9794867038726807,0.9270105361938477,0.8977951407432556
identity,44,0.980054497718811,0.9307470917701721,0.9036380648612976
identity,45,0.9806159734725952,0.9333919882774353,0.9087918996810913
identity,46,0.9809062480926514,0.9360404014587402,0.9136723279953003
identity,47,0.9810851216316223,0.9387764930725098,0.9197205901145935
identity,48,0.9812092185020447,0.9419499039649963,0.9259449243545532
identity,49,0.9820775389671326,0.9461150765419006,0.9334769248962402
identity,50,0.9842813014984131,0.9521975517272949,0.9429050087928772
identity,51,0.9862685203552246,0.9599956274032593,0.955735981464386
