config,layer,cos_to_j,cos_to_r,cos_to_released_j,cos_to_released_r
j,0,1.0008444786071777,0.637320876121521,0.8367525339126587,0.6114853620529175
j,1,1.0008556842803955,0.6809303164482117,0.838773787021637,0.6550816893577576
j,2,1.000872254371643,0.7190605401992798,0.8790774345397949,0.7015178203582764
j,3,1.001082181930542,0.7498769760131836,0.920427143573761,0.7386711835861206
j,4,1.0013787746429443,0.7746438384056091,0.953151524066925,0.7688863277435303
j,5,1.0015302896499634,0.7890714406967163,0.9694254994392395,0.7851696610450745
j,6,1.0013797283172607,0.7927971482276917,0.967465877532959,0.7888083457946777
j,7,1.0013984441757202,0.8096529245376587,0.9725750088691711,0.8055194616317749
j,8,1.0013974905014038,0.8242322206497192,0.9784111976623535,0.8203744888305664
j,9,1.001413106918335,0.8398458957672119,0.982654333114624,0.8362994194030762
j,10,1.0013611316680908,0.8501109480857849,0.987214207649231,0.8472642302513123
j,11,1.001084327697754,0.8631198406219482,0.9894596934318542,0.860611081123352
j,12,1.001010775566101,0.8679012060165405,0.9909750819206238,0.8656297922134399
j,13,1.000989317893982,0.874131977558136,0.9921773076057434,0.8719558119773865
j,14,1.0010217428207397,0.877918541431427,0.9930441975593567,0.8760653734207153
j,15,1.0010790824890137,0.885069727897644,0.9939441084861755,0.8833842277526855
j,16,1.001041054725647,0.8872591257095337,0.994793176651001,0.8860476613044739
j,17,1.0009856224060059,0.8987201452255249,0.9958562254905701,0.897554874420166
j,18,1.0009067058563232,0.9174624085426331,0.9966220855712891,0.9159995317459106
j,19,1.0008306503295898,0.9339154958724976,0.9978479146957397,0.9326999187469482
j,20,1.0008125305175781,0.9472140073776245,0.9986088871955872,0.9462111592292786
j,21,1.0007847547531128,0.9568114280700684,0.9989471435546875,0.9559155106544495
j,22,1.0007233619689941,0.9683136343955994,0.9992186427116394,0.9676802754402161
j,23,1.0007526874542236,0.9751368165016174,0.9995793104171753,0.9745515584945679
j,24,1.0007328987121582,0.9796797037124634,0.9998654127120972,0.9791784286499023
j,25,1.0007165670394897,0.983050525188446,1.0000947713851929,0.9826686978340149
j,26,1.0007448196411133,0.9870018362998962,1.0003368854522705,0.9867271780967712
j,27,1.0008727312088013,0.990848183631897,1.000662088394165,0.9906440377235413
j,28,1.0011603832244873,0.9942203760147095,1.0010201930999756,0.9940959811210632
j,29,1.001622200012207,0.9981057047843933,1.0015474557876587,0.9980517625808716
j,30,1.0,1.0,1.0,1.0
ln,0,0.7572954893112183,0.6044015884399414,0.7598796486854553,0.5773679614067078
ln,1,0.7776776552200317,0.6581978797912598,0.7823382616043091,0.6319206953048706
ln,2,0.8313965797424316,0.7149735689163208,0.8484846949577332,0.6967893242835999
ln,3,0.8769716024398804,0.7521801590919495,0.8936795592308044,0.7398045659065247
ln,4,0.9188086986541748,0.7814273238182068,0.9309364557266235,0.7750454545021057
ln,5,0.9402551054954529,0.7934850454330444,0.9446712732315063,0.7887421250343323
ln,6,0.9282786250114441,0.7956038117408752,0.9319888353347778,0.7909110188484192
ln,7,0.9391516447067261,0.8134334683418274,0.9414993524551392,0.80860435962677
ln,8,0.9501822590827942,0.8279303312301636,0.9512006640434265,0.823486328125
ln,9,0.9569870829582214,0.8428676724433899,0.9577951431274414,0.8386977910995483
ln,10,0.9654735922813416,0.8524221181869507,0.9652059078216553,0.8490622639656067
ln,11,0.9689590334892273,0.8642295598983765,0.9677963256835938,0.8612731695175171
ln,12,0.9699063897132874,0.8686405420303345,0.9681621193885803,0.8659087419509888
ln,13,0.9709731936454773,0.8743820190429688,0.9691535234451294,0.8718180060386658
ln,14,0.9742904901504517,0.879397451877594,0.9728455543518066,0.8772274255752563
ln,15,0.9758946299552917,0.8868938088417053,0.9742363095283508,0.8848793506622314
ln,16,0.9774017333984375,0.8897744417190552,0.9762344360351562,0.8883566856384277
ln,17,0.9823593497276306,0.901374340057373,0.9809193015098572,0.9001876711845398
ln,18,0.988922655582428,0.9204321503639221,0.987316370010376,0.9189999103546143
ln,19,0.9928022027015686,0.9365184903144836,0.991175651550293,0.935340166091919
ln,20,0.9955847859382629,0.9491301774978638,0.9941110610961914,0.9481518268585205
ln,21,0.997765302658081,0.9578858613967896,0.9964367151260376,0.9570087790489197
ln,22,0.9990996718406677,0.9687891602516174,0.9978872537612915,0.9681782126426697
ln,23,0.9995251297950745,0.9753316044807434,0.9985776543617249,0.9747692346572876
ln,24,1.0000344514846802,0.9796151518821716,0.9993120431900024,0.9791253209114075
ln,25,1.0002412796020508,0.9829204082489014,0.9997346997261047,0.9825522899627686
ln,26,1.0003951787948608,0.9872036576271057,1.0000696182250977,0.986941397190094
ln,27,1.0007463693618774,0.9908990263938904,1.000545620918274,0.9906970858573914
ln,28,1.0011180639266968,0.9941697716712952,1.000988245010376,0.9940471053123474
ln,29,1.0016090869903564,0.9980937838554382,1.0015432834625244,0.9980422258377075
ln,30,1.0,1.0,1.0,1.0
identity,0,0.8559645414352417,0.7016459703445435,0.8521796464920044,0.6773046851158142
identity,1,0.8587960004806519,0.7388435006141663,0.8589817881584167,0.7142746448516846
identity,2,0.8750585317611694,0.7694502472877502,0.8915833234786987,0.7536392211914062
identity,3,0.8940778970718384,0.7951401472091675,0.9139779806137085,0.7862403988838196
identity,4,0.9137558341026306,0.8079730868339539,0.9285283088684082,0.8042441010475159
identity,5,0.9267931580543518,0.811057984828949,0.9337745308876038,0.8087167739868164
identity,6,0.9277065396308899,0.8145644664764404,0.9341049194335938,0.8121919631958008
identity,7,0.9332568049430847,0.8275788426399231,0.9379487633705139,0.8249714970588684
