entry,set,layer,arm_A,arm_B,arm_C,arm_A_score,arm_B_score,arm_C_score
000L00,multilingual,0,但不限于 | ン | ãng | ktop | ftware | avanaugh | ترنت | **– | baugh | indsight,"  | . | ... | , | - |  ( | 
 | ' | ? | /", alot | baugh |  whilst |  amongst |  seper |  seperate | ぇ |  guys | **– | indsight,,,
000L06,multilingual,6, alot |  thats |  maybe | baugh |  kinda | ouve |  stuff | oteric |  pretty |  yeah,但不限于 | outu |  alot | oteric |  richies | indsight | uese | ToMany | ideshow | baugh," "" |   | , |    |  a |   | . |  to | orm | ...",,,
000L12,multilingual,12, anyways | 但不限于 | udson |  everytime |  basically |  splitted | baugh |  colors |  stuff |  besides,et | 甚 |  primary | _ | qe | 因 | 全部 | 真的 |  normal | 	, maybe |  colors |  color |  mostly |  basically |  really |  definitely |  stuff |  inside |  kind,,,
000L18,multilingual,18, kinda |  yeah |  alot |  gonna |  stuff |  maybe |  guys |  basically |  thats |  anyways, maybe |  kinda |  gonna |  alot |  really |  yeah |  basically |  colors |  stuff |  gotta,舍 |  blood | 血 | 盎 |   | 血液 |  mostly |  kwa |  color | 的人类,,,
000L24,multilingual,24, blood | 血 | blood | 这时候 | ungs | bile | 血液 | /color | 血流 | 有组织, blood | blood |  color |  colors |  Blood | 血 | Blood | 血液 | -blood |  kinda, kinda |  alot |  basically |  gonna |  yeah |  maybe |  gotta |  thats |  stuff | blood,,,
001L00,association,0," though | …… | , |  whilst | (er |  … | ….. |  there |  seperate | ….","  | , |  ( | . | - | ... | 
 | / | : | ?",–and | – | **– | .hm |  tossed | � | 籲 |  – | � | izon,,,
001L06,association,6, really |  actually |  though |  probably |  something |  pretty |  whatever |  not |  just |  because,…it |  Aussie |  perhaps |  though | ..... | 新台幣 | …the | indsight | caps | ......,"  | ... |   | 
 | . |  ( | , | … | ? | :",,,
001L12,association,12, folks |  pretty |  stuff |  gotta |  got |  probably |  really |  whatever |  weird |  ought,"
 | ... |   | … |  ... |  ( | / | _ | . | ?"," just |  really |  pretty |  even |  whatever |  probably | , |  though |  that |  more",,,
001L18,association,18, stuff |  pretty |  perhaps |  whatever |  really |  folks |  apparently |  quite |  ostensibly |  just, just |  whatever |  really |  pretty |  even |  anyway |  apparently |  something |  quite |  everybody," ... | …… | … | ... | ____ |  … | () | . | 
 |  ",,,
001L24,association,24, decidedly | —or |  ostensibly |  folks |  damned |  perhaps | –and | —and |  apparently |  myriad, just |  nearly |  pretty |  whatever | -- |  apparently |  -- |  tell |  perhaps |  sure,... |  t |  n |  ... |  h | () | _ | …… | � | deal,,,
002L00,typo,0,en | er | es | ً | ه | an | ン | zelfde | े | u,"  | , | . | - | / |  ( | <|endoftext|> | 
 | ... | :",ً | e | es | er |  latter | en | i | u | ه | ños,,,
002L06,typo,6," source |  sources | 来源 | source |   | , | 源 |  "" | 的来源 |  (",en | er | ه | u | ً | e | an | ン | es | o,e | u | er | en | i | a | o |  latter | ing | es,,,
002L12,typo,12,e | u | er | en | i |  thru | ing | o | a | y," sources | 来源 |  source | 源 | /source | 的来源 | source | 源头 | 
 |  Source",en | u | er | e | an | o | es | ه | ン |  thru,,,
002L18,typo,18,en | u | e | er | o | es | an | el | i | ive,e | u | en | o | i |  isnt | er | el |  didnt | y, sources | 来源 |  source | 的来源 |  Sources | /source |  Source | sources | source | 源,,,
002L24,typo,24,u | e | en | er | o | an | ive | es |  isnt | el, sources | 来源 |  source | 的来源 | sources | 源 |  Sources |  Source | /source | ibling,u | e |  source |  isnt |  Source | er | o | i | el | 源头,,,
003L00,association,0,"  | , | ... |  ( | . | - | 
 | / | : | ?",–and | – |  tossed | **– | .hm | izon | � | � |  Weiner | 籲,礎 |  seperate | ….. |  though | 妬 | …… |  needing | (er | ictured |  ….,,,
003L06,association,6,"  | ... |   | 
 | . |  ( | 	 | / | … | ,", neighborhood | -- |  neighborhoods |  neighbors |  -- |  neighbor |  favorite |  honors |  behavior | neighbor,")-- | -- | ""-- | AVOR |  moms |  neighborhoods | --[ | ăț | avorite |  --",,,
003L12,association,12, just |  pretty |  neighborhood |  nearly |  something |  ​​ |  even |  neighbors |  more |  though,"... |   | 
 | . |  ... |   |  
 | � | 	 |  B", folks | ighbor | itize |  gotta |  nonprofits |  bisschen | Neighbor | —or |  vibe | ște,,,
003L18,association,18, folks |  — |  perhaps | —or |  just |  -- |  pretty |  nearly |  though | —and,—or |  folks | —even |  ostensibly |  — | —but | —and | —— | –and | —that," ... |   | 寒 | lement | ... | 
 | … |  
 | aug | lements",,,
003L24,association,24,寒 | 透 | 霞 | 晓 | iskey | 早 | rais | � |  proximity | 正值, folks | —or | —but | —and |  decidedly |  Appalach |  neighborhoods | —even | —— |  burgeoning, folks |  ... |  just |  -- | -- |  perhaps | ... |  nearly |  — |  pretty,,,
004L00,multihop,0,"  | - | , | / | . | ... | ( |  ( | : | _",….. | …I | � | …the | …it |  – |  …. | onger | –and | …but, 부터 | ….. |  …. | 做为 | …. |  going | 更加的 | /is |  alot | .....,,,
004L06,multihop,6,…it | avourite | 总台 |  harbour | /is | rov | _sock | 简书 | nton | vell,"  | ... | , | : |  ( |  a | 
 | . | ( |  ",", |  the |  because |  not |  and |  in |  a |  more |  to | 
",,,
004L12,multihop,12,", |  the |   |  and |  a |   |  most |  more |  not |  one", Nowadays |  тё |  harbour | ёл |  favoured | colour |  nowadays | шёл | avourite |  centre,"  | ... | : | , |  ( |   | … | 
 | . | -",,,
004L18,multihop,18, — | —even | —or | —and | — | —in | —at | —a | —the | —which,"... |   |   | [ | … |  ( | — | _ |  ... | ,", — |   |  ... |  indeed |  … |  almost |  often |  perhaps |  most | …,,,
004L24,multihop,24,—or | capital |  capital |  cities | —and | —at |  countries | —but |  Capital | —even,"... |   |  ( | ( | [ | , | … |  - | _ | {",", |  often |  most |  ... |  not |  cities |  capital |   |  city |  the",,,
005L00,multilingual,0,"  | - | , |  ( | / | ... | . |   | ' | ?",ness | ação | tures | ами | ses | iest | ties | ization | sel | ificates," "" |  **"" | -"" |  ""... | ..."" | !"" | ："" |  ""-- | ."" |  (""",,,
005L06,multilingual,6," "" | -"" |  ""... | ..."" |  ("" |  """" |  -- | ("" |  ""-- | ""","ness |  "" | -"" | niest |  ""... | iest |  """" | apest | ization | ``"," "" | ... |  ( | / |   | "" | 
 | ( | s | .",,,
005L12,multilingual,12," "" | -"" | "" |  """" |  -- |  really |  ""-- | -- |  ("" |  ,""","ness |  freaking | onical | iest |  "" | -"" | -- |  ""-- |  basically |  --"," "" | "" | ( |  ( | ... |   |  - | - | 
 | '",,,
005L18,multilingual,18,"ness |  freaking |  everybody |  "" |  really | really |  whats |  Anyway |  crazy |  basically"," "" | "" |  really | -"" |  ,"" |  """" | !"" | -- | ."" |  --"," "" | "" |  im | 塞 | ye | ler | S |  up | ( |  a",,,
005L24,multilingual,24," everybody | „ |  "" |  „ |  Everybody |  somebody |  German | ness | ´t | 德语","下一个 | ‑ |  m | ache | ilm |  "" | 塞 | 填入 | 舍 | prog"," "" | "" |  everybody | -"" | ¨ | „ |  „ |  German | ."" |  """"",,,
006L00,poetry,0,"  | , | . | ... |  ( | - | 
 | / | ( | '","ly | an |  


 | jenigen | (er |  




 | al | , | ""-- |  �",ly | raries | ся | an | –and | 倡廉 |  Weiner | igor | jenigen | zelfde,,,
006L06,poetry,6,ly | imately | но | ся | dish | raries | zeitig | 中行 | اً | ward,加拿大 | ly | 勇往直前 | -esque |  замо |  ës | 相辅相成 | beau | -ish | edal,... |   | . | - | / | ( | _ |   | [ | 在,,,
006L12,poetry,12,"... | 
 |  ... | ly |   |  
 | … | ..., | lets | ..","  | ... | s | 
 |  
 | - | / | … | . | �",ly | ... | a | ्स | но | ו | er | ays | alak | istic,,,
006L18,poetry,18,... | … | .. | � |     |    |   | __ | 润 | <,"  | ... | 
 | … | ly | .. | a |  indeed |  
 |  ...",ly | a |   | ्स | en | 데요 | iful | an | hips | “,,,
