entry,set,item,layer,lens,score,rater
000L00,multilingual,,0,released-R,1.0,claude
000L00,multilingual,,0,logit,0.0,claude
000L00,multilingual,,0,released-J,2.0,claude
000L06,multilingual,,6,released-R,2.0,claude
000L06,multilingual,,6,released-J,1.0,claude
000L06,multilingual,,6,logit,1.0,claude
000L12,multilingual,,12,released-J,2.0,claude
000L12,multilingual,,12,logit,1.0,claude
000L12,multilingual,,12,released-R,3.0,claude
001L00,association,,0,released-R,1.0,claude
001L00,association,,0,logit,0.0,claude
001L00,association,,0,released-J,0.0,claude
001L06,association,,6,logit,2.0,claude
001L06,association,,6,released-J,1.0,claude
001L06,association,,6,released-R,0.0,claude
001L12,association,,12,released-R,2.0,claude
001L12,association,,12,logit,0.0,claude
001L12,association,,12,released-J,2.0,claude
002L00,typo,,0,logit,1.0,claude
002L00,typo,,0,released-J,0.0,claude
002L00,typo,,0,released-R,1.0,claude
002L06,typo,,6,released-R,3.0,claude
002L06,typo,,6,released-J,1.0,claude
002L06,typo,,6,logit,1.0,claude
002L12,typo,,12,released-R,1.0,claude
002L12,typo,,12,logit,3.0,claude
002L12,typo,,12,released-J,1.0,claude
003L00,association,,0,logit,0.0,claude
003L00,association,,0,released-R,0.0,claude
003L00,association,,0,released-J,1.0,claude
003L06,association,,6,released-R,0.0,claude
003L06,association,,6,released-J,3.0,claude
003L06,association,,6,logit,1.0,claude
003L12,association,,12,released-J,2.0,claude
003L12,association,,12,released-R,0.0,claude
003L12,association,,12,logit,2.0,claude
004L00,multihop,,0,released-R,0.0,claude
004L00,multihop,,0,released-J,0.0,claude
004L00,multihop,,0,logit,1.0,claude
004L06,multihop,,6,released-J,1.0,claude
004L06,multihop,,6,released-R,0.0,claude
004L06,multihop,,6,logit,2.0,claude
004L12,multihop,,12,released-R,2.0,claude
004L12,multihop,,12,logit,2.0,claude
004L12,multihop,,12,released-J,0.0,claude
005L00,multilingual,,0,released-J,0.0,claude
005L00,multilingual,,0,released-R,1.0,claude
005L00,multilingual,,0,logit,0.0,claude
005L06,multilingual,,6,released-J,0.0,claude
005L06,multilingual,,6,released-R,1.0,claude
005L06,multilingual,,6,logit,0.0,claude
005L12,multilingual,,12,released-J,1.0,claude
005L12,multilingual,,12,released-R,1.0,claude
005L12,multilingual,,12,logit,0.0,claude
006L00,poetry,,0,released-R,0.0,claude
006L00,poetry,,0,logit,0.0,claude
006L00,poetry,,0,released-J,1.0,claude
006L06,poetry,,6,released-J,1.0,claude
006L06,poetry,,6,logit,1.0,claude
006L06,poetry,,6,released-R,0.0,claude
006L12,poetry,,12,released-J,1.0,claude
006L12,poetry,,12,logit,0.0,claude
006L12,poetry,,12,released-R,1.0,claude
007L00,poetry,,0,released-R,0.0,claude
007L00,poetry,,0,logit,0.0,claude
007L00,poetry,,0,released-J,1.0,claude
007L06,poetry,,6,logit,1.0,claude
007L06,poetry,,6,released-R,0.0,claude
007L06,poetry,,6,released-J,1.0,claude
007L12,poetry,,12,logit,2.0,claude
007L12,poetry,,12,released-J,0.0,claude
007L12,poetry,,12,released-R,1.0,claude
008L00,multihop,,0,logit,0.0,claude
008L00,multihop,,0,released-R,0.0,claude
008L00,multihop,,0,released-J,1.0,claude
008L06,multihop,,6,released-J,0.0,claude
008L06,multihop,,6,released-R,1.0,claude
008L06,multihop,,6,logit,0.0,claude
008L12,multihop,,12,logit,1.0,claude
008L12,multihop,,12,released-J,0.0,claude
008L12,multihop,,12,released-R,0.0,claude
009L00,typo,,0,logit,0.0,claude
009L00,typo,,0,released-J,1.0,claude
009L00,typo,,0,released-R,1.0,claude
009L06,typo,,6,released-J,0.0,claude
009L06,typo,,6,logit,3.0,claude
009L06,typo,,6,released-R,1.0,claude
009L12,typo,,12,released-J,2.0,claude
009L12,typo,,12,released-R,2.0,claude
009L12,typo,,12,logit,0.0,claude
