set,multihop,multihop,multihop,multihop,multilingual,multilingual,multilingual,multilingual,association,association,association,association,typo,typo,typo,typo,poetry,poetry,poetry,poetry
lens,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control
layer,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.03125,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.01020408163265306
9,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.25,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.013392857142857142,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.010416666666666666,0.25,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.013392857142857142,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.3229166666666667,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.013392857142857142,0.0,0.0,0.0,0.0,0.0,0.03125,0.041666666666666664,0.4166666666666667,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.013392857142857142,0.03125,0.0,0.0,0.0,0.0,0.0,0.03125,0.052083333333333336,0.5520833333333334,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.03125,0.0,0.0,0.0,0.0,0.0,0.03125,0.08333333333333333,0.5729166666666666,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.022321428571428572,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.07291666666666667,0.6041666666666666,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.022321428571428572,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.0625,0.4895833333333333,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.049107142857142856,0.0,0.0,0.0,0.0,0.0,0.07291666666666667,0.11458333333333333,0.5416666666666666,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.03125,0.05803571428571429,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.08333333333333333,0.5625,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.008928571428571428,0.03571428571428571,0.05803571428571429,0.0,0.0,0.0,0.00980392156862745,0.0,0.09375,0.08333333333333333,0.5520833333333334,0.0,0.0,0.0,0.0,0.0
20,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.03125,0.08035714285714286,0.013392857142857142,0.0,0.0,0.00980392156862745,0.0,0.09375,0.03125,0.4791666666666667,0.0,0.0,0.0,0.0,0.0
21,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.022321428571428572,0.0625,0.017857142857142856,0.0,0.0,0.0196078431372549,0.0,0.10416666666666667,0.0,0.3125,0.0,0.0,0.0,0.0,0.0
22,0.0,0.023809523809523808,0.11904761904761904,0.0,0.008928571428571428,0.026785714285714284,0.08482142857142858,0.0,0.0,0.0,0.029411764705882353,0.0,0.10416666666666667,0.0,0.125,0.0,0.0,0.0,0.0,0.0
23,0.023809523809523808,0.0,0.047619047619047616,0.0,0.013392857142857142,0.026785714285714284,0.09821428571428571,0.0,0.0,0.0,0.029411764705882353,0.0,0.125,0.0,0.3125,0.0,0.0,0.0,0.0,0.0
24,0.023809523809523808,0.023809523809523808,0.09523809523809523,0.0,0.004464285714285714,0.022321428571428572,0.09821428571428571,0.0,0.0,0.0,0.029411764705882353,0.0,0.09375,0.0,0.28125,0.0,0.0,0.0,0.0,0.0
25,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.0,0.008928571428571428,0.09375,0.0,0.0,0.0,0.0196078431372549,0.0,0.10416666666666667,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0
26,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.0,0.017857142857142856,0.004464285714285714,0.07589285714285714,0.0,0.0,0.0,0.0392156862745098,0.0,0.08333333333333333,0.0,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
27,0.09523809523809523,0.023809523809523808,0.11904761904761904,0.0,0.044642857142857144,0.004464285714285714,0.08482142857142858,0.0,0.0392156862745098,0.0,0.029411764705882353,0.0,0.17708333333333334,0.0,0.2708333333333333,0.0,0.0,0.0,0.0,0.0
28,0.07142857142857142,0.023809523809523808,0.11904761904761904,0.0,0.08928571428571429,0.013392857142857142,0.15625,0.0,0.06862745098039216,0.0,0.049019607843137254,0.0,0.28125,0.0,0.3229166666666667,0.0,0.0,0.0,0.0,0.0
29,0.11904761904761904,0.047619047619047616,0.19047619047619047,0.0,0.12053571428571429,0.017857142857142856,0.14285714285714285,0.0,0.0784313725490196,0.0,0.08823529411764706,0.0,0.2916666666666667,0.0,0.4166666666666667,0.0,0.01020408163265306,0.0,0.0,0.0
30,0.23809523809523808,0.09523809523809523,0.21428571428571427,0.0,0.23660714285714285,0.017857142857142856,0.17857142857142858,0.0,0.09803921568627451,0.0,0.10784313725490197,0.0,0.4583333333333333,0.010416666666666666,0.46875,0.0,0.05102040816326531,0.0,0.02040816326530612,0.0
31,0.42857142857142855,0.16666666666666666,0.3333333333333333,0.0,0.3125,0.022321428571428572,0.22321428571428573,0.0,0.13725490196078433,0.0,0.11764705882352941,0.0,0.5625,0.03125,0.46875,0.0,0.14285714285714285,0.01020408163265306,0.05102040816326531,0.0
32,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.28125,0.026785714285714284,0.20089285714285715,0.0,0.13725490196078433,0.00980392156862745,0.13725490196078433,0.0,0.6041666666666666,0.041666666666666664,0.46875,0.0,0.21428571428571427,0.02040816326530612,0.09183673469387756,0.0
33,0.30952380952380953,0.11904761904761904,0.30952380952380953,0.0,0.34375,0.044642857142857144,0.23214285714285715,0.0,0.13725490196078433,0.0196078431372549,0.12745098039215685,0.0,0.5833333333333334,0.0625,0.4895833333333333,0.0,0.3163265306122449,0.07142857142857142,0.23469387755102042,0.0
34,0.16666666666666666,0.023809523809523808,0.2619047619047619,0.0,0.32589285714285715,0.0625,0.24553571428571427,0.0,0.14705882352941177,0.049019607843137254,0.17647058823529413,0.0,0.59375,0.11458333333333333,0.5208333333333334,0.0,0.3469387755102041,0.10204081632653061,0.3163265306122449,0.0
35,0.23809523809523808,0.023809523809523808,0.2619047619047619,0.0,0.33035714285714285,0.044642857142857144,0.2544642857142857,0.0,0.1568627450980392,0.0196078431372549,0.18627450980392157,0.0,0.5208333333333334,0.09375,0.4895833333333333,0.0,0.30612244897959184,0.09183673469387756,0.32653061224489793,0.0
36,0.3333333333333333,0.023809523809523808,0.2619047619047619,0.0,0.33035714285714285,0.03125,0.24553571428571427,0.0,0.09803921568627451,0.0196078431372549,0.19607843137254902,0.0,0.5833333333333334,0.15625,0.5520833333333334,0.0,0.35714285714285715,0.11224489795918367,0.37755102040816324,0.0
37,0.5714285714285714,0.19047619047619047,0.4523809523809524,0.0,0.34375,0.05357142857142857,0.2544642857142857,0.0,0.24509803921568626,0.049019607843137254,0.19607843137254902,0.0,0.5104166666666666,0.14583333333333334,0.5208333333333334,0.0,0.3673469387755102,0.09183673469387756,0.30612244897959184,0.0
38,0.5476190476190477,0.2619047619047619,0.5,0.0,0.29464285714285715,0.0625,0.26339285714285715,0.0,0.29411764705882354,0.08823529411764706,0.21568627450980393,0.0,0.46875,0.20833333333333334,0.5520833333333334,0.0,0.32653061224489793,0.07142857142857142,0.29591836734693877,0.0
